Action,Description,Filter,Message,Name,RegEx,Sev,ThresholdPerDay,ThresholdPerMin
"Modem s firmware upgrade. Monitor the system regularly for reoccurrence. If the error occurs frequently, Contact Cisco technical support to raise RMA","Cellular modem failure, due to that modem went down.",N,CISCO800-2-MODEM_DOWN*,CISCO800-2-MODEM_DOWN*,*CISCO800-2-MODEM_DOWN**,2,0,0
These are the normal operational messages.,IOS upgrade completed and the modem is not experiencing any issues after that. The cellular modem is working fine now. The modem is up now.,N,CISCO800-2-MODEM_UP,CISCO800-2-MODEM_UP,*CISCO800-2-MODEM_UP*,2,0,0
"Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information",[slot] [subslot]: [chars] temperature [chars] limit ([dec] degC) exceeded at temperature [dec] degC and power [dec].[dec] wattsSensor temperature threshold is crossed.,Y,CLCENVM-4-TEMPTHRESHOLDEXCEED,CLCENVM-4-TEMPTHRESHOLDEXCEED,*CLCENVM-4-TEMPTHRESHOLDEXCEED*,4,0,0
No action is needed.,[slot] [subslot]: [chars] temperature is normalThis message notifies that the sensor temperature is normal.,Y,CLCENVM-6-TEMPNORMAL,CLCENVM-6-TEMPNORMAL,*CLCENVM-6-TEMPNORMAL*,6,0,0
"Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information.
Severity:",DOCSIS MAC detected uncorrectable SDRAM ECC Error.The DOCSIS MAC experienced an uncorrectable SDRAM ECC error.,N,CLCJIB-0-SDRAMUECCERR,CLCJIB-0-SDRAMUECCERR,*CLCJIB-0-SDRAMUECCERR*,1,0,0
"Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information", DDR single or multiple bit errors occurred.,N,CLCPLATFORM-3-DDR_ERROR,CLCPLATFORM-3-DDR_ERROR,*CLCPLATFORM-3-DDR_ERROR*,3,0,0
"Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information",HCCP [dec] [dec] [chars] rp-lc configure sync error: [chars].There is a problem synchronizing the HCCP RP and line card configuration.,N,CLCPLATFORM-3-ERRRPLCCFGSYNC,CLCPLATFORM-3-ERRRPLCCFGSYNC,*CLCPLATFORM-3-ERRRPLCCFGSYNC*,3,0,0
Reset AP.,This message indicates that a spectrum forward communication error has occurred.,N,CLEANAIR-3-ERROR,CLEANAIR-3-ERROR,*CLEANAIR-3-ERROR*,3,0,0
"Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information",Clean Air Sensor got crashed.,N,CLEANAIR-3-SFW,CLEANAIR-3-SFW,*CLEANAIR-3-SFW*,3,0,0
This is an informational message.,"Enabled the triggering of interferer alarms by entering this command: #config {802.11a| 802.11b} CleanAir alarm device enable. The default value is enable. CleanAir is a spectrum intelligence solution designed to proactively manage the challenges of a shared wireless spectrum. It allows to see all of the users of the shared spectrum (both native devices and foreign interferers). It also enables you or your network to act upon this information. For every device operating in the unlicensed band, Cisco CleanAir tells you what it is, where it is, how it is impacting your wireless network, and what actions you or your network should take.",Y,CLEANAIR-6-STATE,CLEANAIR-6-STATE,*CLEANAIR-6-STATE*,6,0,0
No action required.,Clears the counters of a specified asynchronous interface or specified asynchronous interface group.,Y,CLEAR-5-COUNTERS,CLEAR-5-COUNTERS,*CLEAR-5-COUNTERS*,5,0,0
This is an informational message only. No action is required.,This message gives the information to clear the counter on the specified asynchronous interface.,Y,CLEAR-SW1-5-COUNTERS,CLEAR-SW1-5-COUNTERS,*CLEAR-SW\d+-5-COUNTERS*,5,0,0
"Copy the error message exactly as it appears on the console or in the system log, call Cisco technical support representative and provide the representative with the gathered information.",Command Line Interface (CLI) login failed.,Y,CLI-3-LOGIN_FAILED,CLI-3-LOGIN_FAILED,*CLI-3-LOGIN_FAILED*,3,0,0
"Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information",Admin login to Standby via SSH generates an event in msglog syslog.,N,CLI-3-LOGIN_STANDBY,CLI-3-LOGIN_STANDBY,*CLI-3-LOGIN_STANDBY*,3,0,0
The system generates a maintenance-mode profile when you use the system mode maintenance command or a normal-mode profile when you use the no system mode maintenance command.,This message is seen when enable the no system mode maintenance in the device.,N,CLIS-3-DATAXCHG,CLIS-3-DATAXCHG,*CLIS-3-DATAXCHG*,3,0,0
No action is required.,Command removal due to configuration change,Y,CLIS-5-CLIS_SYSLOG_CMD_REMOVED,CLIS-5-CLIS_SYSLOG_CMD_REMOVED,*CLIS-5-CLIS_SYSLOG_CMD_REMOVED*,5,0,0
copy the logs and contact CISCO TAC.,"Buffer is too small.

",Y,CLIWEB-3-BUFFER_TOO_SMALL,CLIWEB-3-BUFFER_TOO_SMALL,*CLIWEB-3-BUFFER_TOO_SMALL*,3,0,0
"Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information",CLNS on the LC does not process any packet. It will ignore any packets it receives on the LC.,N,CLNS-2-LC_INPUT,CLNS-2-LC_INPUT,*CLNS-2-LC_INPUT*,2,0,0
"Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information.",This message is seen before line protocol comes up on the Gigabit Ethernet interface. The neighbor specified in the error does come up without manual intervention so this does not affect service.,Y,CLNS-3-BADPACKET,CLNS-3-BADPACKET,*CLNS-3-BADPACKET*,3,0,0
Disable ISIS LSP MD5 authentication.,Bug:This message seen when MD5 authentication is enabled in the ISIS network with non-cisco devices that sends the LSPs to neighbors that fail the MD5 checksum match,N,CLNS-4-AUTH_FAIL,CLNS-4-AUTH_FAIL,*CLNS-4-AUTH_FAIL*,4,0,0
One of the duplicate IDs needs to be corrected.,This message indicates a configuration error.,N,CLNS-4-DUPSYSTEM,CLNS-4-DUPSYSTEM,*CLNS-4-DUPSYSTEM*,4,0,0
"If the error is in a neighboring device s memory, the problem will correct itself within 15 minutes. That device will detect its internal error and regenerate the corrupted data. This case is usually indicated by a single LSP ID appearing repeatedly in these messages. The same LSP ID might appear in this message on other devices as well. If data-link corruption has caused the error, check the link for errors and deal with them appropriately. This case is usually indicated by a number of different LSP IDs appearing in these messages.","A link-state packet (LSP) was received for either Intermediate System-to-Intermediate System (ISIS) or NetWare Link Services Protocol (NLSP), which failed an internal data checksum, but which passed the data-link checksum. The interface on which the LSP was received is indicated, along with the total count of checksum errors received, the LSP ID, and the level of the failing LSP. This message usually indicates data corruption occurring on a link, but might also indicate data corruption in a neighboring device s memory.",N,CLNS-4-LSPCKSUM,CLNS-4-LSPCKSUM,*CLNS-4-LSPCKSUM*,4,0,0
This is an informational message.,This message is seen when the IS-IS adjacency state changes occurred and a neighbor came up with new adjacency.,Y,CLNS-5-ADJCHANGE,CLNS-5-ADJCHANGE,*CLNS-5-ADJCHANGE*,5,0,0
This informational message appears as a normal side effect of appropriate console or configuration commands.,All ISIS (Intermediate System-to-Intermediate System) or NLSP (NetWare Link Services Protocol) adjacencies of the specified type have been cleared. This message appears only if the log-adjacency-changes command is configured for the ISIS or NLSP process.,Y,CLNS-5-ADJCLEAR,CLNS-5-ADJCLEAR,*CLNS-5-ADJCLEAR*,5,0,0
No action is required.,This message indicates the Connectionless-mode Network Protocol (CLNP) adjacency has changed.,Y,CLNS-5-FADJCHANGE,CLNS-5-FADJCHANGE,*CLNS-5-FADJCHANGE*,5,0,0
Review the setting of the nsf interval command.,"  ISIS cancelled the NSF restart since either the active or standby RP had not been up long enough. In Cisco mode, the active RP must signal that it has been up for a minimum of  nsf interval  seconds. For IETF mode, the standby RP must be up for a minimum of  nsf interval  seconds.",N,CLNS-5-NSF_NO_RP_SIGNAL,CLNS-5-NSF_NO_RP_SIGNAL,*CLNS-5-NSF_NO_RP_SIGNAL*,5,0,0
This informational message appears as a normal side effect of a restart performed while NSF is enabled,ISIS performed an NSF restart,Y,CLNS-5-NSF_RESTART,CLNS-5-NSF_RESTART,*CLNS-5-NSF_RESTART*,5,0,0
No message is required,This is an informational message,Y,CLUE-3-CHECKSUM_ERROR,CLUE-3-CHECKSUM_ERROR,*CLUE-3-CHECKSUM_ERROR*,3,0,0
"Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information",Linecard ATM driver TX SAR indication error.,N,CM622_CM155-4-TXSARIND,CM622_CM155-4-TXSARIND,*CM622_CM155-4-TXSARIND*,4,0,0
"Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information",An unexpected condition has occurred while IOS is trying to dispatch to the TDL message handler functions for received TDL messages from Chassis Manager.,N,CMANRP-3-MSGDISPATCH,CMANRP-3-MSGDISPATCH,*CMANRP-3-MSGDISPATCH*,3,0,0
"Recommend to keep the device under monitoring. If the error occurs frequently, Contact Cisco technical support.","These events are a result of the active RP (Route Processor) being locked up, which resulted in the heartbeat mechanism failure between the two RPs, as a result of this, the standby RP took over as the active.",Y,CMANRP-6-CMHASTATUS,CMANRP-6-CMHASTATUS,*CMANRP-6-CMHASTATUS*,6,0,0
No action required. This is an informational message.,This message is seen when you have the CCM configured the gateway.,Y,CMAPP-6-CONFIG_DONE,CMAPP-6-CONFIG_DONE,*CMAPP-6-CONFIG_DONE*,6,0,0
"If this message appears, it is recommended to reload the affected linecard, it will recover after reloading. If linecard redundancy is implemented, then affected linecard will failover to the protect linecard to continue service.","This message is seen when the cBR8 (Converged Broadband Rout) line card cdmanprocess fails, generating a Linecard core file and causing the line card to restart.",N,CMCC_CBR-4-PROC_DOWN,CMCC_CBR-4-PROC_DOWN,*CMCC_CBR-4-PROC_DOWN*,4,0,0
"Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information","This message indicates that the slot crashed.
",N,CMCC_CBR-4-PROC_RESTART,CMCC_CBR-4-PROC_RESTART,*CMCC_CBR-4-PROC_RESTART*,4,0,0
"Replace the hardware with a genuine Cisco product. If this message recurs, contact your Cisco technical support representative and provide the representative with the gathered information.",Hardware in the specified location could not be identified as a genuine Cisco product.,N,CMCC-2-BAD_ID_HW,CMCC-2-BAD_ID_HW,*CMCC-2-BAD_ID_HW*,2,0,0
"Replace the hardware with a genuine Cisco product. If this message recurs, contact your Cisco technical support representative and provide the representative with the gathered information.",This message indicates that hardware in the specified location could not be identified as a genuine Cisco product.,N,CMCC-3-BAD_ID_HW,CMCC-3-BAD_ID_HW,*CMCC-3-BAD_ID_HW*,3,0,0
"Examine the logs for C2W driver errors. Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information",An attempt to read the C2W bus has failed. This error could be caused by hardware or software defect.,N,CMCC-3-C2W_READ,CMCC-3-C2W_READ,*CMCC-3-C2W_READ*,3,0,0
"Examine the logs for I2C driver errors. Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information",An attempt to write to the inter-integrated circuit (I2C) has failed. This error could be caused by a hardware or software defect.,N,CMCC-3-C2W_WRITE,CMCC-3-C2W_WRITE,*CMCC-3-C2W_WRITE*,3,0,0
"No action is required. This error is usually self-correcting. If the problem persists, you may need to replace the SIP.",The SIP DRAM experienced a single-bit error checking code (ECC) error.,N,CMCC-3-DDR_SINGLE_BIT_ERROR,CMCC-3-DDR_SINGLE_BIT_ERROR,*CMCC-3-DDR_SINGLE_BIT_ERROR*,3,0,0
Examine the logs for FPGA driver or hardware errors. Verify that the software and firmware versions are compatible.,A SIP field programmable logic device failure detected. This error could be caused by a hardware or software driver defect.,N,CMCC-3-FPGA_FAIL,CMCC-3-FPGA_FAIL,*CMCC-3-FPGA_FAIL*,3,0,0
Examine the system logs for errors.,This message indicates that SIP (Session Initiation Protocol) did not receive this heartbeat message sent by RP (Route Processor) for last timeout period.,N,CMCC-3-HB_TIMEOUT,CMCC-3-HB_TIMEOUT,*CMCC-3-HB_TIMEOUT*,3,0,0
It is suggested to restart the SIP and the SPA,These messages indicate that a physical layer interface module (PLIM) Hyper Transport (HT) driver I O has failed. This error could be caused by a hardware defect or an HT driver defect. These are correctable ECC errors that occurred in one of the internal memory of SPA aggregation ASIC (which is on SIP card).,N,CMCC-3-PLIM_STATUS,CMCC-3-PLIM_STATUS,*CMCC-3-PLIM_STATUS*,3,0,0
Examine the CMCC and PSM OIR logs. Verify whether the recovery reload could bring up the SPA.,The Hot Swap Circuit for the SPA bay has been tripped. This error could be caused by bad SPA hardware.,N,CMCC-3-SPA_HOTSWAP_CKT_FAIL,CMCC-3-SPA_HOTSWAP_CKT_FAIL,*CMCC-3-SPA_HOTSWAP_CKT_FAIL*,3,0,0
No action is required., A serial bridge I O event has occurred. This event is not serious but is logged for diagnostic purposes.,Y,CMCC-5-SERDES_BLOCK_EVENT,CMCC-5-SERDES_BLOCK_EVENT,*CMCC-5-SERDES_BLOCK_EVENT*,5,0,0
"Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information",This error indicates that environmental monitor software cannot initialize the sensor. The software will not register and monitor this sensor. This could occur when the IDPROM has a bad I2C address for this sensor.,N,CMEM-3-SENSOR_INIT_FAILED,CMEM-3-SENSOR_INIT_FAILED,*CMEM-3-SENSOR_INIT_FAILED*,3,0,0
"This error is self-correcting. If the problem persists, the FP hardware may need to be replaced.","This message indicates that a single-bit data corruption error has occurred in the forwarding processor (FP).

",N,CMFP-3-DDR_SINGLE_BIT_ERROR,CMFP-3-DDR_SINGLE_BIT_ERROR,*CMFP-3-DDR_SINGLE_BIT_ERROR*,3,0,0
Recommend to examine the system logs for errors.,Route Processor sends a periodic heartbeat message to the ESP. The ESP did not receive this heartbeat message for last timeout period.,N,CMFP-3-HB_TIMEOUT,CMFP-3-HB_TIMEOUT,*CMFP-3-HB_TIMEOUT*,3,0,0
"Examine the system hardware. Re-seat and securely screw in all FRUs. If the problem persists, please contact TAC support.","Standby EOBC link error. Either link state went down, duplex is not full, or speed is not 1Gbps.",N,CMFP-3-STANDBY_EOBC_LINK_ERROR,CMFP-3-STANDBY_EOBC_LINK_ERROR,*CMFP-3-STANDBY_EOBC_LINK_ERROR*,3,0,0
Please upgrade it to minimum required version or higher.,Firmware version in the specified location is lower than minimum required version.,N,CMLIB-4-FW_CHECK,CMLIB-4-FW_CHECK,*CMLIB-4-FW_CHECK*,4,0,0
This is an informational message indicating that the throughput is configured.,Status indicating whether appropriate throughput is foundor enabled and ensuring the value is used to configurethe CPP hardware.,Y,CMLIB-6-THROUGHPUT_VALUE,CMLIB-6-THROUGHPUT_VALUE,*CMLIB-6-THROUGHPUT_VALUE*cmand*,6,0,0
"Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information",Connectivity Management processor is not sending heartbeats on this module.,Y,CMPPROXY-2-LOG_CMP_IS_NOT_UP,CMPPROXY-2-LOG_CMP_IS_NOT_UP,*CMPPROXY-2-LOG_CMP_IS_NOT_UP*,2,0,0
No action is required.,Connectivity Management processor is not sending heartbeats on this module.,Y,CMPPROXY-STANDBY-2-LOG_CMP_IS_NOT_UP,CMPPROXY-STANDBY-2-LOG_CMP_IS_NOT_UP,*CMPPROXY-STANDBY-2-LOG_CMP_IS_NOT_UP*,2,0,0
"Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information",The FRU is overheating and will be shut down in order to protectthe components.,N,CMRP_ENVMON-3-TEMP_FRU_SHUTDOWN_NOW,CMRP_ENVMON-3-TEMP_FRU_SHUTDOWN_NOW,*CMRP_ENVMON-3-TEMP_FRU_SHUTDOWN_NOW*,3,0,0
"Monitor the environmental temperature, if message recurs contact TAC.",Message indicates the FRU(Filed Replaceable Unit) is overheating and will be shut down in order to protect the components.,N,CMRP_ENVMON-3-TEMP_SYS_SHUTDOWN_NOW,CMRP_ENVMON-3-TEMP_SYS_SHUTDOWN_NOW,*CMRP_ENVMON-3-TEMP_SYS_SHUTDOWN_NOW*,3,0,0
It is advised to check the site and clean the device with pressurized air to eliminate any possible air flow issue.,The message indicates that there was a temperature issue on site that made the device to shut down.,N,CMRP_ENVMON-3-TEMP_SYS_SHUTDOWN_PENDING,CMRP_ENVMON-3-TEMP_SYS_SHUTDOWN_PENDING,*CMRP_ENVMON-3-TEMP_SYS_SHUTDOWN_PENDING*,3,0,0
It is recommended to replace the fan.,"If the air temperature exceeds a defined threshold, the system controller displays this syslog.",N,CMRP_ENVMON-3-TEMP_WARN_CRITICAL,CMRP_ENVMON-3-TEMP_WARN_CRITICAL,*CMRP_ENVMON-3-TEMP_WARN_CRITICAL*,3,0,0
The message will be displayed when DC input failed.It is recommended to replace DC power supply.,The DC input failed for pem module.,N,CMRP_PFU-3-DCPOWERREDUNDANCY,CMRP_PFU-3-DCPOWERREDUNDANCY,*CMRP_PFU-3-DCPOWERREDUNDANCY*,3,0,0
"Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information",This message indicates that the power supply module are not functioning properly.,N,CMRP_PFU-3-PEM_STATUS,CMRP_PFU-3-PEM_STATUS,*CMRP_PFU-3-PEM_STATUS*,3,0,0
It is recommended to replace fan.,This message indicates that a fan is not functioning properly.,N,CMRP_PFU-3-PFU_FAN_ERR,CMRP_PFU-3-PFU_FAN_ERR,*CMRP_PFU-3-PFU_FAN_ERR*,3,0,0
It is recommended to contact Cisco TAC and get the PEM or FM replaced as soon as possible.,"When either a PEM (Power Entry Module) or an FM (Fabric Manager) are removed, the system lacks sufficient cooling capacity. To prevent damage, the system will automatically shut down unless it is replaced.",N,CMRP_PFU-3-PFU_SHUTDOWN,CMRP_PFU-3-PFU_SHUTDOWN,*CMRP_PFU-3-PFU_SHUTDOWN*,3,0,0
"Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information",This message indicates that the Input voltage of power supply is too low.,N,CMRP_PFU-3-PWR_PROTECTION_MODE,CMRP_PFU-3-PWR_PROTECTION_MODE,*CMRP_PFU-3-PWR_PROTECTION_MODE*,3,0,0
"Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information","Insufficient number of fan modules installed, should insert new fans as soon as possible to avoid system from overheating.",N,CMRP_PFU-4-PFU_FAN_INSUFFICIENT,CMRP_PFU-4-PFU_FAN_INSUFFICIENT,*CMRP_PFU-4-PFU_FAN_INSUFFICIENT*,4,0,0
The message will be displayed when DC input recovered. ,The DC input recovered for pem module.,Y,CMRP_PFU-5-DCPOWERINPUT,CMRP_PFU-5-DCPOWERINPUT,*CMRP_PFU-5-DCPOWERINPUT*,5,0,0
It is recommended to open a case with TAC.,This message indicate that fans are just recovered from an I2C communication.,Y,CMRP_PFU-6-PFU_FAN_RECOVERED_I2C,CMRP_PFU-6-PFU_FAN_RECOVERED_I2C,*CMRP_PFU-6-PFU_FAN_RECOVERED*,6,0,0
"In most cases, this message is seen as a result of a temporary resource issue. Monitor resources with the show platform resources command. Retry the request for the resource when the system is experiencing lower traffic volumes. If the message persists, reload the device using the reload command.
Severity:","The system is unable to allocate the requested resource.
",N,CMRP-0-RESOURSE,CMRP-0-RESOURSE,*CMRP-0-RESOURSE*,2,0,0
Remove the FRU from the chassis if the FRU continuously fails to boot,This message indicates that the FRU has failed to successfully boot in the maximum allowable attempts and is held in reset.,N,CMRP-3-CHASSIS_MONITOR_FRU_BOOT_RETRIES_EXCEEDED,CMRP-3-CHASSIS_MONITOR_FRU_BOOT_RETRIES_EXCEEDED,*CMRP-3-CHASSIS_MONITOR_FRU_BOOT_RETRIES_EXCEEDED*,3,0,0
"Recommend to monitor the device for 24 hours, if the issue reoccurs then we would proceed with an RMA of the RSP.","Logs due to soft parity error, as it does not let the RSP (Route Switch Processor) to fully connect with the backplane, in which the software is causing the hardware to malfunction.",N,CMRP-3-CHASSIS_MONITOR_ONLINE_TIME_EXCEEDED,CMRP-3-CHASSIS_MONITOR_ONLINE_TIME_EXCEEDED,*CMRP-3-CHASSIS_MONITOR_ONLINE_TIME_EXCEEDED*,3,0,0
"The suggestion is to restart the device and monitor for 24 hours. For the further occurrence, replace the Chassis and ESP.",The message indicates that Single-bit DRAM ECC error has occurred.,N,CMRP-3-DDR_SINGLE_BIT_ERROR,CMRP-3-DDR_SINGLE_BIT_ERROR,*CMRP-3-DDR_SINGLE_BIT_ERROR*,3,0,0
"If alarm is asserted, then clear at the source.",There is an external alarm on the line.,N,CMRP-3-EXT_ALARM_INTERRUPT,CMRP-3-EXT_ALARM_INTERRUPT,*CMRP-3-EXT_ALARM_INTERRUPT*,3,0,0
Reinsert a fan tray into the fan tray slots soon as possible.,This error message states that fan tray has been removed and the device will shutdown to protect itself from overheating in the amount of time stated.,N,CMRP-3-FAN_REMOVE_SHUT,CMRP-3-FAN_REMOVE_SHUT,*CMRP-3-FAN_REMOVE_SHUT*,3,0,0
"Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information",The FRU is overheating and will be shut down in order to protect the components.,N,CMRP-3-FAN_REMOVE_SYS_SHUTDOWN_PENDING,CMRP-3-FAN_REMOVE_SYS_SHUTDOWN_PENDING,*CMRP-3-FAN_REMOVE_SYS_SHUTDOWN_PENDING*,3,0,0
is required. This is informational message,The hw-programmable CPLD FPGA was upgraded succesfully,Y,CMRP-3-FRU_HWPRG_UPG_SUCCESS,CMRP-3-FRU_HWPRG_UPG_SUCCESS,*CMRP-3-FRU_HWPRG_UPG_SUCCESS*,3,0,0
"Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information",An I2C read has failed. This could be due to a hardware or software defect.,N,CMRP-3-I2C_READ,CMRP-3-I2C_READ,*CMRP-3-I2C_READ*,3,0,0
"Note the time of the error message and examine the logs for IDPROM and hardware errors. Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information","Failed access or process an IDPROM. This could be due to a hardware defect, software defect or incorrect IDPROM content.",N,CMRP-3-IDPROM_ACCESS,CMRP-3-IDPROM_ACCESS,*CMRP-3-IDPROM_ACCESS*,3,0,0
"Wait a few minutes longer. If FRU does not reset automatically, it should be manually reloaded. If the error persists, the FRU needs to be replaced.","The FRU inventory file could not be read since the file got corrupted. The FRU will possibly not initialize properly. The FRU should reset automatically. If it does not, it should be reloaded manually. If the error persists, the FRU will need to be replaced.",N,CMRP-3-INVENTORY_INITIALIZATION,CMRP-3-INVENTORY_INITIALIZATION,*CMRP-3-INVENTORY_INITIALIZATION*,3,0,0
Reinsert a power supply into the power supply slot as soon as possible. The second power supply is required because the fans in the power supply are essential in monitoring device temperature.,This message indicates a power supply has been removed and indicates the device will shutdown to protect itself from overheating.,N,CMRP-3-PEM_REMOVE_SHUT,CMRP-3-PEM_REMOVE_SHUT,*CMRP-3-PEM_REMOVE_SHUT*,3,0,0
"Force an RP switchover if the system is configured with two RPs. If a switchover does not correct the problem or cannot be performed, reloading the device should resolve the issue.",A power supply was inserted or removed into or from a device and the software did not properly handle the event.,N,CMRP-3-PFU_OIR,CMRP-3-PFU_OIR,*CMRP-3-PFU_OIR*,3,0,0
Remove the FRU from the chassis.,"The part number read from the FRU IDPROM is not compatible with the part number of the active RP therefore, it may not function properly.",N,CMRP-3-RP_MISMATCH,CMRP-3-RP_MISMATCH,*CMRP-3-RP_MISMATCH*,3,0,0
"Note the time of the error message and examine the logs for Serial Bridge and hardware errors. Copy the error message exactly as it appears on the console or in the system log. Issue the show tech-support command to gather data that might help identify the nature of the error. If you cannot determine the nature of the error from the error message text or from the show tech-support command output, contact your Cisco technical support representative and provide the representative with the gathered information",This message indicates that a Serial Bridge ESI link did not lock. This could be due to a hardware defect or a software configuration error.,N,CMRP-3-SERDES_ESI_LOCK_FAIL,CMRP-3-SERDES_ESI_LOCK_FAIL,*CMRP-3-SERDES_ESI_LOCK_FAIL*,3,0,0
It is an informational message. No action is required.,This message indicates that VIPER SEM controller has detected an event and performed a correction,Y,CMRP-5-VIPER_SEM_CORR,CMRP-5-VIPER_SEM_CORR,*CMRP-5-VIPER_SEM_CORR*,5,0,0
 Reload the chassis.," Chassis manager received notification that IOS software redundancy has been configured. For these changes to take effect, the system must be restarted.",N,CMRP-6-DUAL_IOS_REBOOT_REQUIRED,CMRP-6-DUAL_IOS_REBOOT_REQUIRED,*CMRP-6-DUAL_IOS_REBOOT_REQUIRED*,6,0,0
This is an informational message. No action is required.,This message appears when the ESP( Extended Services Processor) has transitioned into a new High Availability state. It changes its state into an Active state without a standby.,Y,CMRP-6-FP_HA_STATUS,CMRP-6-FP_HA_STATUS,*CMRP-6-FP_HA_STATUS*,6,0,0
No action is necessary. ,A reload of Standby FP has been requested.,Y,CMRP-6-FP_SB_RELOAD_REQ,CMRP-6-FP_SB_RELOAD_REQ,*CMRP-6-FP_SB_RELOAD_REQ*,6,0,0
Note the error message and contact a Cisco technical support representative.,"This is not a critical error, but it will result in possible traffic interruption during certain software failure cases or ISSU operations.",N,CMRP-6-HT_CLOSURE_MODE,CMRP-6-HT_CLOSURE_MODE,*CMRP-6-HT_CLOSURE_MODE*,6,0,0
No user action is necessary.,On RP (Route Processor) switchover chasfs rfrole property has been changed.,N,CMRP-6-RFROLE,CMRP-6-RFROLE,*CMRP-6-RFROLE*,6,0,0
